ano,barrio,titulo,id,descripcion,direccion,longlat,presupuesto,tema,temaResumen,temaScrolli,subtema,beneficiarios,obrasOCampana,votos,estado
2013,CARAPACHAY,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,1,Compra e instalación de 3 cámaras de vigilancia domo,Ubicación random dentro del barrio,"-34.5259816,-58.5447961",105000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,CARAPACHAY,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,2,Compra e instalación de 4 cámaras de vigilancia fijas,Ubicación random dentro del barrio,"-34.532381, -58.535483",100000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,CARAPACHAY,Centro Cultural Municipal de Carapachay,3,Creación del Centro Cultural Municipal de Carapachay,Ituzaingó 5442,"-34.5285515,-58.53213791",100000,INFRAESTRUCTURA COMUNITARIA,OTROS,CULTURA,CULTURA,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,CARAPACHAY,"Limpieza, poda y mejoramiento de iluminación",4,"Limpieza, poda y mejoramiento de iluminación",Islas Malvinas 3500-3800,"-34.52737974,-58.54194061",26209,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,CARAPACHAY,Plaza Domingo F. Sarmiento,5,Puesta en valor de la Plaza (en reemplazo del Circuito Aeróbico en Islas Malvinas),Lope de Vega e Hilario Ascasubi,"-34.549130, -58.515879",621691,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,CARAPACHAY,Rampas en esquinas,6,Construcción de rampas para personas con movilidad reducida en las cercanías de establecimientos educativos del barrio,Drysdale y Borges - Derqui 5711,"-34.5243161,-58.5383707",116160,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,RAMPAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,CARAPACHAY,UAP Paul Harris (Munro),7,Adquisición de un radiógrafo dental panorámico,Sargento Cabral 2880,"-34.54284977,-58.51320582",241600,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA SANITARIA,SANITARIA,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA ESTE,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,8,Compra e instalación de 3 cámaras de vigilancia fijas,Ubicación random dentro del barrio,"-34.5325003,-58.5091439",75000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA ESTE,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,9,Compra e instalación de 3 cámaras de vigilancia fijas,"Plaza Libertad (Italia, Beiró, Esmeralda, Valle Grande)","-34.5210527,-58.49032972",38217,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA ESTE,Mejoramiento de iluminación,10,Mejoramiento de iluminación,Av Florida 1900 y Carlos Villate 1800 hasta Pres Hipólito Yrigoyen 2200 y Av Florida 2400/ Pres Hipólito Yrigoyen 1409 y Av Maipú 1800 hasta Hipólito Yrigoyen 2200 y España 1800,"-34.5208686,-58.4874244",109538,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA ESTE,Plaza Libertad,11,Iluminación del perímetro de la Plaza,Esmeralda y Francisco Beiró,"-34.52763954,-58.50380748",31630,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA ESTE,Plaza Libertad,12,Puesta en valor de la Plaza,Esmeralda y Francisco Beiró,"-34.52763954,-58.50380748",430000,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA ESTE,Plaza Octavio Ortiz,13,Iluminación de la Plaza,Estación FFCC Mitre y Av San Martín,"-34.5377515,-58.5142095",68480,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA OESTE,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,14,Compra e instalación de 4 cámaras de vigilancia fijas,Ubicación random dentro del barrio,"-34.539517,-58.532007",100000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA OESTE,"Plaza ""Paseo de las Artes""",15,Mejoramiento de iluminación,Sgto Baigorria entre San Martín y Cnel Pringles,"-34.5376067,-58.5139017",139630,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA OESTE,Plaza La Paz,16,Puesta en valor,Gervasio de Posadas e Italia,"-34.5384599,-58.52452683",906056,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,FLORIDA OESTE,Plaza Paseo del Sol,17,Puesta en valor ,Av Gral José de San Martín y Bolivia,"-34.5381368,-58.5148313",85059,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,LA LUCILA,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,18,Compra e instalación de 2 cámaras de vigilancia fijas,Ubicación random dentro del barrio,"-34.4980702,-58.4957971",50000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,LA LUCILA,"Poda, limpieza en general y mejoramiento de iluminación",19,"Poda, limpieza en general y mejoramiento de iluminación",Ada Elflein 3800-4100,"-34.4963397,-58.4897348",55584,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,LA LUCILA,Reparación de veredas rotas por raíces de árboles,20,Reparación de veredas rotas por raíces de árboles,Ubicación random dentro del barrio,"-34.494745, -58.484725",577978,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,VEREDAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,MUNRO,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,21,Compra e instalación de 2 cámaras de vigilancia fijas,Ubicación random dentro del barrio,"-34.5273532,-58.5442659",50000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,MUNRO,Centro Cultural Municipal de Munro,22,Puesta en valor ,Vélez Sarsfield 4652,"-34.53035412,-58.52399905",731508,INFRAESTRUCTURA COMUNITARIA,OTROS,CULTURA,CULTURA,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,MUNRO,Plaza Alem y Plaza Güemes ,23,Vida Saludable en la Plaza (actividades deportivas),Maquinista Carregal y Luis Terragno/ Ricardo Gutiérrez y Sgto cabral,"-34.524528, -58.518635",99920,DEPORTE,OTROS,otros,DEPORTES Y RECREACIÓN,POBLACIÓN EN GENERAL,2,elegido por consenso,FINALIZADO
2013,MUNRO,Plaza Güemes,24,Puesta en valor,Ricardo Gutiérrez y Sgto Cabral,"-34.5249794,-58.5207564",496349,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,OLIVOS,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,25,Compra e instalación de 2 cámaras de vigilancia fijas ,Ubicación random dentro del barrio,"-34.509221, -58.499793",50000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,OLIVOS,Mejoramiento de iluminación,26,Mejoramiento de iluminación,Av Maipú 2600 y Ricardo Gutiérrez 1400 hasta FFCC tren de la Costa,"-34.5115652,-58.492717",98310,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,OLIVOS,Mejoramiento de iluminación,27,Mejoramiento de iluminación,Ugarte 1500 y Av Maipú 2300 hasta Blas Parera 2400,"34.5514157,-58.4545771",188148,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
2013,OLIVOS,Mejoramiento de iluminación,28,Mejoramiento de iluminación,Av Maipú 3000 y Pelliza 1400 al 3900 hasta Blas Parera 3100,"-34.5083611,-58.4945117",486200,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,elegido por consenso,FINALIZADO
